brand,series,model,ad_title,year,mileage,color,price,ad_date,city,district,url
Alfa Romeo,Giulietta,1.6 JTD Progression,ARAÇ ÇOK TEMİZ 2017 MODEL DİZEL OTOMATİK,2017,186000,Kırmızı,705000.0,24 Mayıs 2023,İstanbul,Ümraniye,/ilan/vasita-otomobil-alfa-romeo-arac-cok-temiz-2017-model-dizel-otomatik-1101485576/detay
Alfa Romeo,Giulietta,1.6 JTD Super TCT,SAHİBİNDEN GIULIETTA ÖZEL RENK,2016,167000,Gri,755000.0,24 Mayıs 2023,İstanbul,Silivri,/ilan/vasita-otomobil-alfa-romeo-sahibinden-giulietta-ozel-renk-1101464065/detay
Alfa Romeo,Giulietta,1.6 JTD Giulietta,ACİL SATILIK HATASIZ 61BİN KM'DE 2020 TEMİZ GİULİETTA,2020,61000,Beyaz,815000.0,18 Mayıs 2023,İstanbul,Kadıköy,/ilan/vasita-otomobil-alfa-romeo-acil-satilik-hatasiz-61bin-km-de-2020-temiz-giulietta-1093715813/detay
Alfa Romeo,Giulietta,1.6 JTD Progression,HATASIZ 2019ÇIKŞ / APPELCAR PLAY / 49.000KM /GERİGÖRÜŞ /İLKSAHİB,2018,49000,Kırmızı,854500.0,22 Mayıs 2023,İstanbul,Beylikdüzü,/ilan/vasita-otomobil-alfa-romeo-hatasiz-2019ciks-appelcar-play-49.000km-gerigorus-ilksahib-1101103759/detay
Audi,100 Serisi,2.0,Sıfır Muayene ACİL,1980,224000,Kırmızı,155000.0,23 Mayıs 2023,Mersin,Yenişehir,/ilan/vasita-otomobil-audi-sifir-muayene-acil-1101184571/detay
Audi,A6,A6 Sedan 2.0,TÜM AĞIR BAKIMLARI YAPILMIŞ KELEPİR BU FİYATA BAŞKA YOK,1995,310000,Lacivert,190000.0,19 Mayıs 2023,İstanbul,Ümraniye,/ilan/vasita-otomobil-audi-tum-agir-bakimlari-yapilmis-kelepir-bu-fiyata-baska-yok-1100413871/detay
Audi,A4,A4 Sedan 1.8,görmek yeter 96 otomatik auidi,1996,255000,Siyah,260000.0,18 Mayıs 2023,İstanbul,Sultangazi,/ilan/vasita-otomobil-audi-gormek-yeter-96-otomatik-auidi-1100204715/detay
Audi,A3,A3 Hatchback 1.6,Değişensiz !!! Tramersiz !!! Hatasız !!!,2000,390000,Kırmızı,265000.0,22 Mayıs 2023,İstanbul,Gaziosmanpaşa,/ilan/vasita-otomobil-audi-degisensiz-tramersiz-hatasiz-1100951978/detay
Audi,A4,A4 Sedan 1.8 T,SIFIR MASRAFSIZ OTOMATİK A4,1999,390000,Lacivert,283000.0,19 Mayıs 2023,Karaman,Merkez,/ilan/vasita-otomobil-audi-sifir-masrafsiz-otomatik-a4-1100256161/detay
Audi,A4,A4 Sedan 1.6,OTOMATİK VİTES SUNROOF DİJİTAL KLİMA,2000,286000,Şampanya,290000.0,18 Mayıs 2023,İstanbul,Ümraniye,/ilan/vasita-otomobil-audi-otomatik-vites-sunroof-dijital-klima-1093812307/detay
Audi,A3,A3 Hatchback 1.6,EN UYGUNU EMASALSİZ YARIN FIYAT DEĞİŞECEK FAVORİYE SELAM:),2004,256000,Mavi,309750.0,21 Mayıs 2023,İstanbul,Küçükçekmece,/ilan/vasita-otomobil-audi-en-uygunu-emasalsiz-yarin-fiyat-degisecek-favoriye-selam-1100808098/detay
Audi,A4,A4 Sedan 1.8,DÜŞÜK KM LPG'SİZ MOTOR MEKANİN MUAYYER,2000,235000,Siyah,315000.0,22 Mayıs 2023,İstanbul,Bakırköy,/ilan/vasita-otomobil-audi-dusuk-km-lpg-siz-motor-mekanin-muayyer-1100971998/detay
Audi,A3,A3 Hatchback 2.0 FSI,ACİL SATILIK A3,2004,220000,Mavi,320000.0,22 Mayıs 2023,İstanbul,Arnavutköy,/ilan/vasita-otomobil-audi-acil-satilik-a3-1091483173/detay
Audi,A3,A3 Hatchback 1.8 TFSI,Acil satıllık aile çiftin arabası,2008,281000,Siyah,335000.0,25 Mayıs 2023,Konya,Selçuklu,/ilan/vasita-otomobil-audi-acil-satillik-aile-ciftin-arabasi-1101624502/detay
Audi,A6,A6 Sedan 1.8 T,Temiz Alie Aracı,2000,481000,Mavi,335000.0,20 Mayıs 2023,Ankara,Yenimahalle,/ilan/vasita-otomobil-audi-temiz-alie-araci-1088939146/detay
